Date,Ville,Prix
01/12/23,Cotonou,711
02/12/23,Porto-Novo,623
03/12/23,Parakou,511
04/12/23,Natitingou,439
05/12/23,Bohicon,485
06/12/23,Lokossa,697
01/01/24,Cotonou,679
02/01/24,Porto-Novo,599
03/01/24,Parakou,484
04/01/24,Natitingou,390
05/01/24,Bohicon,468
06/01/24,Lokossa,696
01/02/24,Cotonou,654
02/02/24,Porto-Novo,545
03/02/24,Parakou,443
04/02/24,Natitingou,348
05/02/24,Bohicon,424
06/02/24,Lokossa,650
01/03/24,Cotonou,676
02/03/24,Porto-Novo,537
03/03/24,Parakou,448
04/03/24,Natitingou,333
05/03/24,Bohicon,437
06/03/24,Lokossa,654
01/04/24,Cotonou,686
02/04/24,Porto-Novo,537
03/04/24,Parakou,505
04/04/24,Natitingou,336
05/04/24,Bohicon,471
06/04/24,Lokossa,663
01/05/24,Cotonou,645
02/05/24,Porto-Novo,523
03/05/24,Parakou,505
04/05/24,Natitingou,334
05/05/24,Bohicon,435
06/05/24,Lokossa,668
01/06/24,Cotonou,570
02/06/24,Porto-Novo,468
03/06/24,Parakou,485
04/06/24,Natitingou,332
05/06/24,Bohicon,424
06/06/24,Lokossa,672
01/07/24,Cotonou,570
02/07/24,Porto-Novo,493
03/07/24,Parakou,497
04/07/24,Natitingou,332
05/07/24,Bohicon,450
06/07/24,Lokossa,692
08/08/24,Cotonou,570
08/08/24,Porto-Novo,518
08/08/24,Parakou,509
08/08/24,Natitingou,332
08/08/24,Bohicon,475
08/08/24,Lokossa,711
