Date,Ville,Prix
01/12/23,Cotonou,351
01/12/23,Porto-Novo,306
01/12/23,Parakou,410
01/12/23,Natitingou,474
01/12/23,Bohicon,225
01/12/23,Lokossa,305
01/01/24,Cotonou,350
02/01/24,Porto-Novo,306
03/01/24,Parakou,409
04/01/24,Natitingou,467
05/01/24,Bohicon,227
06/01/24,Lokossa,305
01/02/24,Cotonou,352
02/02/24,Porto-Novo,305
03/02/24,Parakou,407
04/02/24,Natitingou,467
05/02/24,Bohicon,228
06/02/24,Lokossa,306
01/03/24,Cotonou,351
02/03/24,Porto-Novo,303
03/03/24,Parakou,401
04/03/24,Natitingou,464
05/03/24,Bohicon,224
06/03/24,Lokossa,308
01/04/24,Cotonou,352
02/04/24,Porto-Novo,305
03/04/24,Parakou,397
04/04/24,Natitingou,465
05/04/24,Bohicon,265
06/04/24,Lokossa,308
01/05/24,Cotonou,468
02/05/24,Porto-Novo,471
03/05/24,Parakou,397
04/05/24,Natitingou,492
05/05/24,Bohicon,379
06/05/24,Lokossa,415
01/06/24,Cotonou,466
02/06/24,Porto-Novo,470
03/06/24,Parakou,397
04/06/24,Natitingou,503
05/06/24,Bohicon,405
06/06/24,Lokossa,416
01/07/24,Cotonou,466
02/07/24,Porto-Novo,470
03/07/24,Parakou,397
04/07/24,Natitingou,503
05/07/24,Bohicon,405
06/07/24,Lokossa,416
01/08/24,Cotonou,466
01/08/24,Porto-Novo,470
01/08/24,Parakou,432
01/08/24,Natitingou,538
08/08/24,Bohicon,405
08/08/24,Lokossa,416
