Date,Ville,Prix
01/12/23,Cotonou,5 757
02/12/23,Porto-Novo,5 423
03/12/23,Parakou,5 923
04/12/23,Natitingou,5 590
05/12/23,Bohicon,5 257
06/12/23,Lokossa,5 100
01/01/24,Cotonou,5 757
02/01/24,Porto-Novo,5 423
03/01/24,Parakou,5 923
04/01/24,Natitingou,5 590
05/01/24,Bohicon,5 257
06/01/24,Lokossa,5 100
01/02/24,Cotonou,5 757
02/02/24,Porto-Novo,5 423
03/02/24,Parakou,5 923
04/02/24,Natitingou,5 590
05/02/24,Bohicon,5 257
06/02/24,Lokossa,5 100
01/03/24,Cotonou,5 757
02/03/24,Porto-Novo,5 423
03/03/24,Parakou,5 923
04/03/24,Natitingou,5 590
05/03/24,Bohicon,5 257
06/03/24,Lokossa,5 100
01/04/24,Cotonou,5 757
02/04/24,Porto-Novo,5 423
03/04/24,Parakou,5 923
04/04/24,Natitingou,5 590
05/04/24,Bohicon,5 257
06/04/24,Lokossa,5 100
01/05/24,Cotonou,5 757
02/05/24,Porto-Novo,5 423
03/05/24,Parakou,5 923
04/05/24,Natitingou,5 590
05/05/24,Bohicon,5 257
06/05/24,Lokossa,5 100
01/06/24,Cotonou,5 757
02/06/24,Porto-Novo,5 423
03/06/24,Parakou,5 923
04/06/24,Natitingou,5 590
05/06/24,Bohicon,5 257
06/06/24,Lokossa,5 100
01/07/24,Cotonou,5 757
02/07/24,Porto-Novo,5 423
03/07/24,Parakou,5 923
04/07/24,Natitingou,5 590
05/07/24,Bohicon,5 257
06/07/24,Lokossa,5 100
08/08/24,Cotonou,5 757
08/08/24,Porto-Novo,5 423
08/08/24,Parakou,5 923
08/08/24,Natitingou,5 590
08/08/24,Bohicon,5 257
08/08/24,Lokossa,5 100
