Date,Ville,Prix
01/12/23,Cotonou,763
02/12/23,Porto-Novo,676
03/12/23,Parakou,758
04/12/23,Natitingou,595
05/12/23,Bohicon,504
06/12/23,Lokossa,677
01/01/24,Cotonou,760
02/01/24,Porto-Novo,668
03/01/24,Parakou,760
04/01/24,Natitingou,595
05/01/24,Bohicon,504
06/01/24,Lokossa,677
01/02/24,Cotonou,763
02/02/24,Porto-Novo,660
03/02/24,Parakou,761
04/02/24,Natitingou,599
05/02/24,Bohicon,504
06/02/24,Lokossa,676
01/03/24,Cotonou,764
02/03/24,Porto-Novo,654
03/03/24,Parakou,760
04/03/24,Natitingou,597
05/03/24,Bohicon,509
06/03/24,Lokossa,676
01/04/24,Cotonou,803
02/04/24,Porto-Novo,747
03/04/24,Parakou,764
04/04/24,Natitingou,617
05/04/24,Bohicon,627
06/04/24,Lokossa,698
01/05/24,Cotonou,907
02/05/24,Porto-Novo,864
03/05/24,Parakou,999
04/05/24,Natitingou,654
05/05/24,Bohicon,753
06/05/24,Lokossa,913
01/06/24,Cotonou,908
02/06/24,Porto-Novo,872
03/06/24,Parakou,1009
04/06/24,Natitingou,653
05/06/24,Bohicon,752
06/06/24,Lokossa,913
01/07/24,Cotonou,942
02/07/24,Porto-Novo,907
03/07/24,Parakou,1085
04/07/24,Natitingou,678
05/07/24,Bohicon,792
06/07/24,Lokossa,921
08/08/24,Cotonou,1038
08/08/24,Porto-Novo,1072
08/08/24,Parakou,1312
08/08/24,Natitingou,766
08/08/24,Bohicon,895
08/08/24,Lokossa,1030
