Date,Ville,Prix
01/12/23,Cotonou,1 200
02/12/23,Porto-Novo,1 300
03/12/23,Parakou,1 400
04/12/23,Natitingou,1 400
05/12/23,Bohicon,1 000
06/12/23,Lokossa,1 925
01/01/24,Cotonou,1 200
02/01/24,Porto-Novo,1 300
03/01/24,Parakou,1 400
04/01/24,Natitingou,1 400
05/01/24,Bohicon,1 000
06/01/24,Lokossa,1 100
01/02/24,Cotonou,1 200
02/02/24,Porto-Novo,1 300
03/02/24,Parakou,1 400
04/02/24,Natitingou,1 400
05/02/24,Bohicon,1 000
06/02/24,Lokossa,1 100
01/03/24,Cotonou,1 200
02/03/24,Porto-Novo,1 300
03/03/24,Parakou,1 400
04/03/24,Natitingou,1 400
05/03/24,Bohicon,1 000
06/03/24,Lokossa,1 100
01/04/24,Cotonou,1 200
02/04/24,Porto-Novo,1 300
03/04/24,Parakou,1 400
04/04/24,Natitingou,1 400
05/04/24,Bohicon,1 000
06/04/24,Lokossa,1 100
01/05/24,Cotonou,1 200
02/05/24,Porto-Novo,1 300
03/05/24,Parakou,1 400
04/05/24,Natitingou,1 400
05/05/24,Bohicon,1 000
06/05/24,Lokossa,1 083
01/06/24,Cotonou,1 200
02/06/24,Porto-Novo,1 300
03/06/24,Parakou,1 400
04/06/24,Natitingou,1 400
05/06/24,Bohicon,1 000
06/06/24,Lokossa,1 067
01/07/24,Cotonou,1 200
02/07/24,Porto-Novo,1 300
03/07/24,Parakou,1 400
04/07/24,Natitingou,1 400
05/07/24,Bohicon,1 000
06/07/24,Lokossa,1 067
08/08/24,Cotonou,1 200
08/08/24,Porto-Novo,1 300
08/08/24,Parakou,1 400
08/08/24,Natitingou,1 400
08/08/24,Bohicon,1 000
08/08/24,Lokossa,1 067
