Date,Ville,Prix
01/12/23,Cotonou,248
02/12/23,Porto-Novo,273
03/12/23,Parakou,248
04/12/23,Natitingou,201
05/12/23,Bohicon,203
06/12/23,Lokossa,216
01/01/24,Cotonou,248
02/01/24,Porto-Novo,276
03/01/24,Parakou,248
04/01/24,Natitingou,201
05/01/24,Bohicon,205
06/01/24,Lokossa,217
01/02/24,Cotonou,300
02/02/24,Porto-Novo,317
03/02/24,Parakou,280
04/02/24,Natitingou,219
05/02/24,Bohicon,251
06/02/24,Lokossa,263
01/03/24,Cotonou,360
02/03/24,Porto-Novo,347
03/03/24,Parakou,336
04/03/24,Natitingou,289
05/03/24,Bohicon,317
06/03/24,Lokossa,366
01/04/24,Cotonou,408
02/04/24,Porto-Novo,360
03/04/24,Parakou,347
04/04/24,Natitingou,312
05/04/24,Bohicon,377
06/04/24,Lokossa,438
01/05/24,Cotonou,381
02/05/24,Porto-Novo,357
03/05/24,Parakou,309
04/05/24,Natitingou,298
05/05/24,Bohicon,340
06/05/24,Lokossa,446
01/06/24,Cotonou,365
02/06/24,Porto-Novo,330
03/06/24,Parakou,297
04/06/24,Natitingou,289
05/06/24,Bohicon,312
06/06/24,Lokossa,427
01/07/24,Cotonou,389
02/07/24,Porto-Novo,371
03/07/24,Parakou,314
04/07/24,Natitingou,329
05/07/24,Bohicon,312
06/07/24,Lokossa,427
08/08/24,Cotonou,321
08/08/24,Porto-Novo,351
08/08/24,Parakou,348
08/08/24,Natitingou,322
08/08/24,Bohicon,240
08/08/24,Lokossa,389
