Date,Ville,Prix
01/12/23,Cotonou,750
02/12/23,Porto-Novo,866
03/12/23,Parakou,474
04/12/23,Natitingou,569
05/12/23,Bohicon,682
06/12/23,Lokossa,719
01/01/24,Cotonou,638
02/01/24,Porto-Novo,753
03/01/24,Parakou,400
04/01/24,Natitingou,481
05/01/24,Bohicon,591
06/01/24,Lokossa,638
01/02/24,Cotonou,540
02/02/24,Porto-Novo,649
03/02/24,Parakou,337
04/02/24,Natitingou,409
05/02/24,Bohicon,510
06/02/24,Lokossa,560
01/03/24,Cotonou,421
02/03/24,Porto-Novo,516
03/03/24,Parakou,256
04/03/24,Natitingou,312
05/03/24,Bohicon,404
06/03/24,Lokossa,456
01/04/24,Cotonou,338
02/04/24,Porto-Novo,421
03/04/24,Parakou,203
04/04/24,Natitingou,249
05/04/24,Bohicon,329
06/04/24,Lokossa,372
01/05/24,Cotonou,475
02/05/24,Porto-Novo,471
03/05/24,Parakou,405
04/05/24,Natitingou,381
05/05/24,Bohicon,380
06/05/24,Lokossa,425
01/06/24,Cotonou,689
02/06/24,Porto-Novo,646
03/06/24,Parakou,561
04/06/24,Natitingou,532
05/06/24,Bohicon,533
06/06/24,Lokossa,590
01/07/24,Cotonou,807
02/07/24,Porto-Novo,753
03/07/24,Parakou,602
04/07/24,Natitingou,613
05/07/24,Bohicon,614
06/07/24,Lokossa,697
08/08/24,Cotonou,942
08/08/24,Porto-Novo,884
08/08/24,Parakou,667
08/08/24,Natitingou,706
08/08/24,Bohicon,738
08/08/24,Lokossa,827
