Date,Ville,Prix
01/12/23,Cotonou,593
02/12/23,Porto-Novo,595
03/12/23,Parakou,649
04/12/23,Natitingou,512
05/12/23,Bohicon,602
06/12/23,Lokossa,593
01/01/24,Cotonou,597
02/01/24,Porto-Novo,591
03/01/24,Parakou,646
04/01/24,Natitingou,513
05/01/24,Bohicon,604
06/01/24,Lokossa,594
01/02/24,Cotonou,600
02/02/24,Porto-Novo,595
03/02/24,Parakou,697
04/02/24,Natitingou,515
05/02/24,Bohicon,606
06/02/24,Lokossa,595
01/03/24,Cotonou,599
02/03/24,Porto-Novo,594
03/03/24,Parakou,698
04/03/24,Natitingou,510
05/03/24,Bohicon,612
06/03/24,Lokossa,592
01/04/24,Cotonou,620
02/04/24,Porto-Novo,596
03/04/24,Parakou,698
04/04/24,Natitingou,552
05/04/24,Bohicon,631
06/04/24,Lokossa,592
01/05/24,Cotonou,640
02/05/24,Porto-Novo,595
03/05/24,Parakou,702
04/05/24,Natitingou,593
05/05/24,Bohicon,647
06/05/24,Lokossa,589
01/06/24,Cotonou,639
02/06/24,Porto-Novo,595
03/06/24,Parakou,704
04/06/24,Natitingou,596
05/06/24,Bohicon,645
06/06/24,Lokossa,589
01/07/24,Cotonou,639
02/07/24,Porto-Novo,595
03/07/24,Parakou,704
04/07/24,Natitingou,596
05/07/24,Bohicon,645
06/07/24,Lokossa,589
08/08/24,Cotonou,639
08/08/24,Porto-Novo,595
08/08/24,Parakou,704
08/08/24,Natitingou,596
08/08/24,Bohicon,645
08/08/24,Lokossa,589
