Date,Ville,Prix
01/12/23,Cotonou,668
02/12/23,Porto-Novo,604
03/12/23,Parakou,464
04/12/23,Natitingou,385
05/12/23,Bohicon,565
06/12/23,Lokossa,749
01/01/24,Cotonou,619
02/01/24,Porto-Novo,606
03/01/24,Parakou,432
04/01/24,Natitingou,336
05/01/24,Bohicon,551
06/01/24,Lokossa,741
01/02/24,Cotonou,593
02/02/24,Porto-Novo,603
03/02/24,Parakou,392
04/02/24,Natitingou,276
05/02/24,Bohicon,468
06/02/24,Lokossa,687
01/03/24,Cotonou,553
02/03/24,Porto-Novo,608
03/03/24,Parakou,302
04/03/24,Natitingou,217
05/03/24,Bohicon,442
06/03/24,Lokossa,652
01/04/24,Cotonou,554
02/04/24,Porto-Novo,609
03/04/24,Parakou,303
04/04/24,Natitingou,224
05/04/24,Bohicon,443
06/04/24,Lokossa,651
01/05/24,Cotonou,550
02/05/24,Porto-Novo,608
03/05/24,Parakou,304
04/05/24,Natitingou,228
05/05/24,Bohicon,435
06/05/24,Lokossa,639
01/06/24,Cotonou,542
02/06/24,Porto-Novo,589
03/06/24,Parakou,302
04/06/24,Natitingou,229
05/06/24,Bohicon,405
06/06/24,Lokossa,619
01/07/24,Cotonou,570
02/07/24,Porto-Novo,610
03/07/24,Parakou,336
04/07/24,Natitingou,262
05/07/24,Bohicon,420
06/07/24,Lokossa,619
08/08/24,Cotonou,598
08/08/24,Porto-Novo,623
08/08/24,Parakou,386
08/08/24,Natitingou,322
08/08/24,Bohicon,435
08/08/24,Lokossa,619
